[2024/03/28 21:35:20.106][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4524 productIDAsString = 11AC 
[2024/03/28 21:35:20.107][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4520 productIDAsString = 11A8 
[2024/03/28 21:35:20.108][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4427 productIDAsString = 114B 
[2024/03/28 21:35:20.109][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4531 productIDAsString = 11B3 
[2024/03/28 21:35:20.110][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2233 productIDAsString = 08B9 
[2024/03/28 21:35:20.111][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2233 productIDAsString = 08B9 
[2024/03/28 21:35:20.112][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 388 productIDAsString = 0184 
[2024/03/28 21:35:20.114][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 394 productIDAsString = 018A 
[2024/03/28 21:35:20.115][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2213 productIDAsString = 08A5 
[2024/03/28 21:35:20.116][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2213 productIDAsString = 08A5 
[2024/03/28 21:35:20.117][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 347 productIDAsString = 015B 
[2024/03/28 21:35:20.118][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 347 productIDAsString = 015B 
[2024/03/28 21:35:20.119][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4446 productIDAsString = 115E 
[2024/03/28 21:35:20.120][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2256 productIDAsString = 08D0 
[2024/03/28 21:35:20.121][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2256 productIDAsString = 08D0 
[2024/03/28 21:35:20.122][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 370 productIDAsString = 0172 
[2024/03/28 21:35:20.123][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2254 productIDAsString = 08CE 
[2024/03/28 21:35:20.124][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2254 productIDAsString = 08CE 
[2024/03/28 21:35:20.125][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4468 productIDAsString = 1174 
[2024/03/28 21:35:20.126][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4468 productIDAsString = 1174 
[2024/03/28 21:35:20.127][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2201 productIDAsString = 0899 
[2024/03/28 21:35:20.128][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 2201 productIDAsString = 0899 
[2024/03/28 21:35:20.129][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 368 productIDAsString = 0170 
[2024/03/28 21:35:20.130][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4552 productIDAsString = 11C8 
[2024/03/28 21:35:20.131][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 4552 productIDAsString = 11C8 
[2024/03/28 21:35:20.132][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 392 productIDAsString = 0188 
[2024/03/28 21:35:20.134][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 387 productIDAsString = 0183 
[2024/03/28 21:35:20.135][epsonscan2      ][ModelInfo.cpp                                ;  61][GetModelIDFromProductID                      ][0000180F][-TRACE-] modelProductID = 337 productIDAsString = 0151 
